artistName,predicted_genre
Aphex Twin,Electronic
Jamar Rogers,
DJ MENOR ML,
Overmono,Electronic
Barry Can't Swim,
Logic1000,
Jasper Tygner,Electronic
Major Lazer,Electronic
James Blake,Electronic
Elkka,
JVKINHO,
Bad Bunny,Latin
Young Miko,Latin
((( O ))),
Durdenhauer,
Ray Lozano,
Travis Scott,Trap
DJ Sliink,
Blood Orange,
Carla Morrison,Electronic
Carlina,
Carly Pearl,
Loopa Scava,
Skye,
Nicki Minaj,Hip-Hop
lemin.,
Electric Mantis,
A$AP Rocky,Hip-Hop
Skrillex,Dubstep
BTS,K-Pop
Diplo,Hip-Hop
Steve Aoki,House
Kendrick Lamar,Hip-Hop
Fred again..,Electro House
G-Eazy,Hip-Hop
WATCH THE DUCK,
Yo Gotti,
Lil Baby,Rap
Future,Hip-Hop
Metro Boomin,
T.I.,Hip-Hop
Desiigner,Trap
Pickle,
Jengi,
Swedish House Mafia,House
Lil Wayne,Hip-Hop
Alan Nieves,
Reblok,
Sage The Gemini,
MELON,
Kid Cudi,Hip-Hop
Heavy Crownz,
Jamila Woods,Soul
Don Toliver,Rap
Jungle,Soul
theMIND,
NICOLAS,
Little Dragon,Synthpop
Róisín Murphy,Electronic
Gotts Street Park,
Halsey,Pop
Ayla Nereo,
Dan Aux,
Kali Uchis,R&B
anaiis,
Princess Nokia,Hip-Hop
Pablo Nouvelle,
Caroline Polachek,Indie
June Marieezy,
WILLOW,Hip-Hop
Mac Miller,Hip-Hop
Anna Diorio,
East Forest,
Toni Jones,
Masego,Alternative Hip-Hop
Koastle,
Ruby Chase,
BICEP,Electronic
Arca,
Lorde,Pop
Sabrina Claudio,
Mayestra,
Mi Ka,
Fleetwood Mac,Rock
James Tillman,
Scott Nice,
The Weeknd,R&B
Björk,Electronic
mr_slace,
Janelle Monáe,Soul
FKA twigs,Trip Hop
Jon Secada,Latin
Sri Kala,
SAULT,R&B
DnA,Electronic
Lou Val,
SiR,R&B
Iniko,
Equanimous,
Clément Leroux,
